REM2	NM_173527	['ENST00000536884', 'ENST00000267396']
GJB1	NM_000166	['ENST00000361726']
GJB3	NM_024009	['ENST00000373366']
GJB2	NM_004004	['ENST00000382848']
GJB4	NM_153212	['ENST00000339480']
GJB6	NM_006783	['ENST00000241124', 'ENST00000356192']
GRIN3A	NM_133445	['ENST00000361820']
GRIN3B	NM_138690	['ENST00000234389']
VWCE	NM_152718	['ENST00000335613']
PSMC2	NM_002803	['ENST00000435765']
PSMC4	NM_006503	['ENST00000157812']
PSMC5	NM_001199163	['ENST00000580864']
ARFIP1	NM_001025595	['ENST00000451320', 'ENST00000353617']
HECW2	NM_020760	['ENST00000260983', 'ENST00000409111']
KIF18A	NM_031217	['ENST00000263181', 'ENST00000526288']
TRIP11	NM_004239	['ENST00000267622', 'ENST00000555105']
TRIP12	NM_004238	['ENST00000389044', 'ENST00000283943', 'ENST00000479037']
TRIP13	NM_004237	['ENST00000166345']
CPVL	NM_031311	['ENST00000265394', 'ENST00000409850']
DUSP14	NM_007026	['ENST00000487847', 'ENST00000394389']
IFT172	NM_015662	['ENST00000359466', 'ENST00000475476', 'ENST00000260570']
CERK	NM_022766	['ENST00000216264']
FN3KRP	NM_024619	['ENST00000269373']
NCLN	NM_020170	['ENST00000246117', 'ENST00000592737']
DNAL4	NM_005740	['ENST00000216068']
DNAL1	NM_031427	['ENST00000553645']
TGM1	NM_000359	['ENST00000559136', 'ENST00000206765']
GRHPR	NM_012203	['ENST00000318158', 'ENST00000493368', 'ENST00000494290', 'ENST00000377824', 'ENST00000497693']
LIN7B	NM_022165	['ENST00000221459']
TGM4	NM_003241	['ENST00000296125', 'ENST00000490928']
TGM5	NM_201631	['ENST00000220420']
TGM6	NM_198994	['ENST00000202625']
OPHN1	NM_002547	['ENST00000540071', 'ENST00000355520']
MARCH4	NM_020814	['ENST00000273067']
MARCH3	NM_178450	['ENST00000308660']
FOXI1	NM_012188	['ENST00000449804']
CLDN16	NM_006580	['ENST00000264734']
CLSTN1	NM_001009566	['ENST00000377298']
CLSTN2	NM_022131	['ENST00000458420', 'ENST00000511524']
CLSTN3	NM_014718	['ENST00000331148', 'ENST00000537408', 'ENST00000266546']
EIF3H	NM_003756	['ENST00000276682', 'ENST00000521861', 'ENST00000518034']
SBF1	NM_002972	['ENST00000380817', 'ENST00000390679']
ACTL7B	NM_006686	['ENST00000374667']
EIF3B	NM_001037283	['ENST00000360876']
EIF3C	NM_003752	['ENST00000331666', 'ENST00000380876', 'ENST00000565932']
OR5AC2	NM_054106	['ENST00000358642']
EIF3E	NM_001568	['ENST00000521614', 'ENST00000220849', 'ENST00000518442']
EIF3G	NM_003755	['ENST00000589458', 'ENST00000592485', 'ENST00000253108']
FGFBP1	NM_005130	['ENST00000382333']
FADD	NM_003824	['ENST00000301838']
MKKS	NM_018848	['ENST00000347364']
CDKN2B	NM_004936	['ENST00000276925']
WT1	NM_024426	['ENST00000379077', 'ENST00000332351']
CDKN2A	NM_000077	['ENST00000304494']
CDKN2A	NM_058195	['ENST00000361570']
CDKN2A	NM_058197	['ENST00000304494']
BARD1	NM_000465	['ENST00000260947']
TBC1D8B	NM_017752	['ENST00000357242']
DOCK4	NM_014705	['ENST00000423057', 'ENST00000428084', 'ENST00000486186']
EDEM2	NM_001145025	['ENST00000374492', 'ENST00000541621']
EDEM1	NM_014674	['ENST00000256497', 'ENST00000445686']
NME1	NM_000269	['ENST00000393196']
CSTF2T	NM_015235	['ENST00000331173']
TAS1R1	NM_138697	['ENST00000333172']
TAS1R3	NM_152228	['ENST00000339381']
TAS1R2	NM_152232	['ENST00000375371']
NFATC1	NM_006162	['ENST00000253506']
NFATC2	NM_173091	['ENST00000396009']
NFATC4	NM_004554	['ENST00000250373']
CCL5	NM_002985	['ENST00000293272']
MYCBPAP	NM_032133	['ENST00000323776']
TBC1D25	NM_002536	['ENST00000376771']
GTF2E1	NM_005513	['ENST00000283875']
GTF2E2	NM_002095	['ENST00000355904']
SPATC1L	NM_001142854	['ENST00000291672']
CYP26B1	NM_019885	['ENST00000001146']
TUBD1	NM_016261	['ENST00000325752']
PPP1R14D	NM_001130143	['ENST00000299174']
SSC5D	NM_001144950	['ENST00000389623']
CD40	NM_001250	['ENST00000372285']
SRRT	NM_001128852	['ENST00000388793']
PCDH12	NM_016580	['ENST00000231484']
PCDH10	NM_032961	['ENST00000264360']
PCDH15	NM_001142771	['ENST00000373965']
PCDH15	NM_001142769	['ENST00000395445']
PCDH15	NM_033056	['ENST00000361849']
PCDH15	NM_001142763	['ENST00000361849']
VPS53	NM_001128159	['ENST00000437048', 'ENST00000446250']
PCDH18	NM_019035	['ENST00000344876']
VPS50	NM_001257998	['ENST00000544910', 'ENST00000305866']
RALA	NM_005402	['ENST00000005257']
OR10G7	NM_001004463	['ENST00000330487']
OR10G4	NM_001004462	['ENST00000320891']
OR10G3	NM_001005465	['ENST00000303532']
DBF4B	NM_145663	['ENST00000315005']
DNAJB9	NM_012328	['ENST00000249356']
PVR	NM_006505	['ENST00000425690']
PVR	NM_001135770	['ENST00000425690']
DNAJB2	NM_001039550	['ENST00000480537', 'ENST00000336576']
ERCC6L	NM_017669	['ENST00000334463', 'ENST00000373657']
DNAJB6	NM_058246	['ENST00000262177', 'ENST00000459889']
DNAJB5	NM_001135004	['ENST00000453597']
TRMT5	NM_020810	['ENST00000261249']
DIDO1	NM_001193369	['ENST00000395343']
KISS1	NM_002256	['ENST00000367194']
HMSD	NM_001123366	['ENST00000408945']
FRK	NM_002031	['ENST00000606080']
TMED7-TICAM2	NM_001164468	['ENST00000408996']
TRMT1	NM_001136035	['ENST00000357720', 'ENST00000588511']
ZNF808	NM_001039886	['ENST00000359798', 'ENST00000487863']
FRY	NM_023037	['ENST00000380250']
HELZ	NM_014877	['ENST00000580168', 'ENST00000584641', 'ENST00000358691']
COL17A1	NM_000494	['ENST00000369733', 'ENST00000353479']
GRIK1	NM_175611	['ENST00000399914', 'ENST00000472429']
GRIK1	NM_000830	['ENST00000399914', 'ENST00000399907']
QRFPR	NM_198179	['ENST00000512235', 'ENST00000394427']
GRIK3	NM_000831	['ENST00000373093', 'ENST00000373091']
GRIK4	NM_014619	['ENST00000527524', 'ENST00000533291', 'ENST00000438375']
ATP5MPL	NM_004894	['ENST00000553430', 'ENST00000286953']
SGSH	NM_000199	['ENST00000570923', 'ENST00000575282', 'ENST00000326317']
RNF145	NM_144726	['ENST00000274542']
CALR	NM_004343	['ENST00000316448']
RNF146	NM_001242849	['ENST00000368314']
PHB2	NM_001144831	['ENST00000535923']
MSH2	NM_000251	['ENST00000233146', 'ENST00000406134']
MSH3	NM_002439	['ENST00000265081']
MGLL	NM_007283	['ENST00000434178']
MSH5	NM_025259	['ENST00000395853', 'ENST00000578225', 'ENST00000430216', 'ENST00000414412', 'ENST00000490125', 'ENST00000457917', 'ENST00000480850', 'ENST00000439816', 'ENST00000436004', 'ENST00000497157', 'ENST00000534153', 'ENST00000480915', 'ENST00000448169']
MSH6	NM_000179	['ENST00000538136', 'ENST00000445503', 'ENST00000234420']
MYOCD	NM_001146312	['ENST00000425538']
ACCS	NM_032592	['ENST00000263776']
CD320	NM_016579	['ENST00000301458', 'ENST00000596002']
XPR1	NM_004736	['ENST00000367590']
NFXL1	NM_152995	['ENST00000507489', 'ENST00000381538', 'ENST00000502448', 'ENST00000464756']
PACSIN2	NM_001184970	['ENST00000263246']
GREM2	NM_022469	['ENST00000318160']
COPA	NM_004371	['ENST00000241704']
DHH	NM_021044	['ENST00000266991']
INTU	NM_015693	['ENST00000335251', 'ENST00000503626']
PADI3	NM_016233	['ENST00000375460']
PADI2	NM_007365	['ENST00000375481', 'ENST00000375486']
PADI4	NM_012387	['ENST00000375448']
CDK20	NM_001039803	['ENST00000459720', 'ENST00000375883']
GJA10	NM_032602	['ENST00000369352']
PM20D1	NM_152491	['ENST00000460624', 'ENST00000367136']
GCSH	NM_004483	['ENST00000315467']
TOE1	NM_025077	['ENST00000372090', 'ENST00000495703']
GPIHBP1	NM_178172	['ENST00000330824']
NRIP1	NM_003489	['ENST00000318948']
OR52M1	NM_001004137	['ENST00000360213']
GSTP1	NM_000852	['ENST00000398606']
GPR132	NM_013345	['ENST00000329797', 'ENST00000539291', 'ENST00000392585']
DDOST	NM_005216	['ENST00000375048']
PRTG	NM_173814	['ENST00000389286', 'ENST00000561465']
MFRP	NM_031433	['ENST00000449574']
CHSY1	NM_014918	['ENST00000254190']
LRRTM4	NM_001134745	['ENST00000409911']
SPIDR	NM_001080394	['ENST00000521214', 'ENST00000297423', 'ENST00000519141', 'ENST00000524141', 'ENST00000519362']
PPP1R3C	NM_005398	['ENST00000238994']
PPP1R3A	NM_002711	['ENST00000284601']
TIAM1	NM_003253	['ENST00000286827', 'ENST00000469412']
SYNE4	NM_001039876	['ENST00000340477', 'ENST00000324444', 'ENST00000490730']
PNPLA1	NM_001145717	['ENST00000394571']
TNFRSF13C	NM_052945	['ENST00000291232']
MCF2	NM_001171878	['ENST00000520602', 'ENST00000370576']
CIP2A	NM_020890	['ENST00000491772', 'ENST00000481530', 'ENST00000295746', 'ENST00000487834']
HAL	NM_002108	['ENST00000261208']
TBXAS1	NM_001061	['ENST00000436047']
PNPLA4	NM_001142389	['ENST00000444736']
CHERP	NM_006387	['ENST00000546538', 'ENST00000546361']
EHHADH	NM_001966	['ENST00000231887']
TRMO	NM_016481	['ENST00000375117', 'ENST00000375118', 'ENST00000375119']
INPP5A	NM_005539	['ENST00000368594', 'ENST00000368593']
INPP5B	NM_005540	['ENST00000373023', 'ENST00000458109', 'ENST00000373021', 'ENST00000373027']
NME7	NM_013330	['ENST00000367811', 'ENST00000525440', 'ENST00000524967']
INPP5D	NM_001017915	['ENST00000359570']
INPP5E	NM_019892	['ENST00000371712']
INPP5F	NM_014937	['ENST00000361976']
INPP5K	NM_016532	['ENST00000421807']
NME8	NM_016616	['ENST00000199447']
FREM3	NM_001168235	['ENST00000329798']
FREM2	NM_207361	['ENST00000280481']
FREM1	NM_144966	['ENST00000422223']
ZNF37A	NM_003421	['ENST00000351773']
MSANTD1	NM_001042690	['ENST00000507492']
CNST	NM_001139459	['ENST00000366512']
HELQ	NM_133636	['ENST00000510985', 'ENST00000295488']
RCBTB1	NM_018191	['ENST00000378302']
CLSPN	NM_001190481	['ENST00000373220']
EPB42	NM_000119	['ENST00000300215']
EPB41	NM_004437	['ENST00000356093', 'ENST00000373798']
EPB41	NM_001166005	['ENST00000343067']
GSKIP	NM_001271904	['ENST00000556095']
MATR3	NM_199189	['ENST00000509990', 'ENST00000394800']
MATR3	NM_001194956	['ENST00000504643', 'ENST00000505625', 'ENST00000394800']
HELB	NM_033647	['ENST00000542394', 'ENST00000545134', 'ENST00000247815']
TERF2IP	NM_018975	['ENST00000300086']
TEKT1	NM_053285	['ENST00000338694', 'ENST00000575592']
TEKT2	NM_014466	['ENST00000207457', 'ENST00000469024']
TEKT5	NM_144674	['ENST00000283025']
TEKT4	NM_144705	['ENST00000295201', 'ENST00000468063']
VPS37A	NM_152415	['ENST00000324849']
PNPLA3	NM_025225	['ENST00000406117', 'ENST00000216180']
PNPLA2	NM_020376	['ENST00000336615']
TIAM2	NM_012454	['ENST00000461783', 'ENST00000318981']
PNPLA7	NM_001098537	['ENST00000406427']
PNPLA6	NM_006702	['ENST00000221249']
PNPLA5	NM_138814	['ENST00000597664', 'ENST00000216177']
ODAPH	NM_178497	['ENST00000311623']
PNPLA8	NM_015723	['ENST00000426128']
GFOD2	NM_030819	['ENST00000268797']
GFOD1	NM_018988	['ENST00000379287']
FOS	NM_005252	['ENST00000303562']
HOMEZ	NM_020834	['ENST00000357460']
KATNAL2	NM_031303	['ENST00000245121', 'ENST00000592005']
PRKAR1A	NM_002734	['ENST00000589228']
ATG10	NM_001131028	['ENST00000282185']
SFPQ	NM_005066	['ENST00000357214']
KIAA0753	NM_014804	['ENST00000361413']
ATG12	NM_004707	['ENST00000274459']
SAFB2	NM_014649	['ENST00000252542', 'ENST00000591120']
DNAJC28	NM_001040192	['ENST00000381947']
COL12A1	NM_004370	['ENST00000322507', 'ENST00000416123']
VSTM2A	NM_182546	['ENST00000407838', 'ENST00000302287']
SEC14L1	NM_001144001	['ENST00000413679', 'ENST00000430767']
SEC14L5	NM_014692	['ENST00000251170']
ZNF213	NM_004220	['ENST00000396878', 'ENST00000574928']
PTAFR	NM_000952	['ENST00000373857']
UPF2	NM_080599	['ENST00000357604', 'ENST00000397053', 'ENST00000356352']
IL1A	NM_000575	['ENST00000263339']
IL1B	NM_000576	['ENST00000263341']
CHIA	NM_201653	['ENST00000369740']
PHTF2	NM_001127360	['ENST00000424760', 'ENST00000454592', 'ENST00000450574']
THSD7A	NM_015204	['ENST00000423059']
RBM8A	NM_005105	['ENST00000330165']
CASK	NM_003688	['ENST00000318588']
GPR88	NM_022049	['ENST00000315033']
CAST	NM_001042440	['ENST00000395812']
KRT6B	NM_005555	['ENST00000252252']
KRT6C	NM_173086	['ENST00000252250']
CASR	NM_000388	['ENST00000498619']
GPR85	NM_001146265	['ENST00000501255']
THRAP3	NM_005119	['ENST00000469141', 'ENST00000354618']
COMP	NM_000095	['ENST00000542601', 'ENST00000222271']
COMT	NM_000754	['ENST00000361682']
ADAM22	NM_021723	['ENST00000398204']
GLCE	NM_015554	['ENST00000559798', 'ENST00000261858']
ADAM29	NM_001278126	['ENST00000359240']
TARDBP	NM_007375	['ENST00000240185']
IL18	NM_001562	['ENST00000280357']
IL19	NM_013371	['ENST00000270218', 'ENST00000476097']
IL10	NM_000572	['ENST00000423557']
IL11	NM_000641	['ENST00000264563']
IL13	NM_002188	['ENST00000304506']
GSTM4	NM_000850	['ENST00000369836']
IL16	NM_001172128	['ENST00000394660']
IL16	NM_004513	['ENST00000558332', 'ENST00000394660', 'ENST00000560115', 'ENST00000558857']
PALLD	NM_016081	['ENST00000261509']
KRT9	NM_000226	['ENST00000246662']
CNTNAP1	NM_003632	['ENST00000264638']
COLGALT2	NM_015101	['ENST00000546159', 'ENST00000367521', 'ENST00000361927']
MMEL1	NM_033467	['ENST00000288709']
TTF2	NM_003594	['ENST00000369466']
RBMS1	NM_016836	['ENST00000348849', 'ENST00000491781']
RBMS3	NM_001003793	['ENST00000434693']
AEBP2	NM_001114176	['ENST00000266508']
GDF9	NM_005260	['ENST00000296875', 'ENST00000378673']
GDF3	NM_020634	['ENST00000329913']
GDF2	NM_016204	['ENST00000249598']
CBR1	NM_001757	['ENST00000439427', 'ENST00000290349', 'ENST00000530908']
GDF6	NM_001001557	['ENST00000287020']
GDF5	NM_000557	['ENST00000374369']
ANXA1	NM_000700	['ENST00000376911', 'ENST00000257497']
CPT1C	NM_001136052	['ENST00000323446', 'ENST00000392518']
CPT1B	NM_004377	['ENST00000360719']
ANXA7	NM_004034	['ENST00000372919']
TPST1	NM_003596	['ENST00000304842', 'ENST00000480281']
MCM7	NM_005916	['ENST00000303887']
MCM6	NM_005915	['ENST00000264156']
MCM5	NM_006739	['ENST00000382011', 'ENST00000493076', 'ENST00000216122']
MCM4	NM_005914	['ENST00000262105']
POU5F1	NM_002701	['ENST00000383524', 'ENST00000454714', 'ENST00000433063', 'ENST00000437747', 'ENST00000259915', 'ENST00000434616', 'ENST00000429603']
SASS6	NM_194292	['ENST00000287482']
DUSP15	NM_080611	['ENST00000339738', 'ENST00000278979']
LAT	NM_001014987	['ENST00000569969', 'ENST00000395461']
ZDHHC22	NM_174976	['ENST00000319374']
MCM9	NM_017696	['ENST00000316316']
MCM8	NM_032485	['ENST00000265187', 'ENST00000378896']
SQSTM1	NM_003900	['ENST00000389805']
EPC1	NM_025209	['ENST00000319778']
C3orf20	NM_001184957	['ENST00000412910', 'ENST00000253697']
HSPB11	NM_016126	['ENST00000194214', 'ENST00000371377']
OPRD1	NM_000911	['ENST00000234961']
WNT9A	NM_003395	['ENST00000272164']
CYP26C1	NM_183374	['ENST00000285949']
HEPACAM	NM_152722	['ENST00000298251']
SSX3	NM_021014	['ENST00000298396']
USH2A	NM_206933	['ENST00000307340']
SSX1	NM_005635	['ENST00000376919']
ISL1	NM_002202	['ENST00000230658']
KIFAP3	NM_014970	['ENST00000361580']
MROH5	NM_207414	['ENST00000430863']
MS4A7	NM_206939	['ENST00000358246']
MROH7	NM_001039464	['ENST00000454855', 'ENST00000606515', 'ENST00000422659', 'ENST00000421030', 'ENST00000493533', 'ENST00000472987', 'ENST00000395690']
MS4A2	NM_000139	['ENST00000278888', 'ENST00000440896']
MS4A1	NM_152866	['ENST00000345732', 'ENST00000534668']
ZNF141	NM_003441	['ENST00000512994', 'ENST00000240499', 'ENST00000503699']
ZNF143	NM_003442	['ENST00000396602']
ZNF142	NM_001105537	['ENST00000449707']
BCS1L	NM_004328	['ENST00000431802', 'ENST00000392111']
ZNF146	NM_007145	['ENST00000456324']
ZNF148	NM_021964	['ENST00000360647']
CPT2	NM_000098	['ENST00000371486']
DSC2	NM_024422	['ENST00000280904']
DSC3	NM_024423	['ENST00000434452']
COX8A	NM_004074	['ENST00000314133']
PYGL	NM_002863	['ENST00000216392', 'ENST00000530336']
PYGM	NM_005609	['ENST00000164139']
PFAS	NM_012393	['ENST00000545834', 'ENST00000314666']
SOD2	NM_000636	['ENST00000538183']
SOD3	NM_003102	['ENST00000382120']
VWA8	NM_015058	['ENST00000379310']
RAB27A	NM_004580	['ENST00000396307']
TMF1	NM_007114	['ENST00000543976']
VWA2	NM_001272046	['ENST00000603594', 'ENST00000298715', 'ENST00000392982']
RANGAP1	NM_002883	['ENST00000405486', 'ENST00000455915', 'ENST00000356244']
VWA1	NM_022834	['ENST00000476993']
BAMBI	NM_012342	['ENST00000375533']
LSG1	NM_018385	['ENST00000265245']
FASLG	NM_000639	['ENST00000367721', 'ENST00000340030']
PMS1	NM_000534	['ENST00000441310']
PMS2	NM_000535	['ENST00000265849']
MST1R	NM_002447	['ENST00000411578']
KRT1	NM_006121	['ENST00000252244']
GRIP1	NM_021150	['ENST00000540433', 'ENST00000359742']
UPF1	NM_002911	['ENST00000596842', 'ENST00000262803']
SLC19A2	NM_006996	['ENST00000236137']
SLC19A3	NM_025243	['ENST00000425817', 'ENST00000258403']
SLC19A1	NM_194255	['ENST00000311124']
CCDC65	NM_033124	['ENST00000320516']
CCDC66	NM_001141947	['ENST00000394672', 'ENST00000471681', 'ENST00000434467']
FOXK1	NM_001037165	['ENST00000328914']
RAX2	NM_032753	['ENST00000555633']
DPY19L2	NM_173812	['ENST00000324472']
ULK1	NM_003565	['ENST00000321867']
EP400	NM_015409	['ENST00000389561', 'ENST00000330386', 'ENST00000333577']
TMEM115	NM_007024	['ENST00000266025']
KCNJ16	NM_018658	['ENST00000283936']
KRT8	NM_002273	['ENST00000552551', 'ENST00000293308']
DACT1	NM_016651	['ENST00000395153']
MED12L	NM_053002	['ENST00000309237', 'ENST00000474524', 'ENST00000273432', 'ENST00000422248']
SLC35A1	NM_006416	['ENST00000369552']
SLC35A2	NM_001042498	['ENST00000376521']
SLC35A3	NM_012243	['ENST00000465289']
ANKRD18A	NM_147195	['ENST00000602295', 'ENST00000399703', 'ENST00000566717']
MPDZ	NM_003829	['ENST00000319217']
NXF5	NM_032946	['ENST00000372803', 'ENST00000263032', 'ENST00000537026']
KCNJ18	NM_001194958	['ENST00000583088']
CES1	NM_001025194	['ENST00000422046']
FLG2	NM_001014342	['ENST00000388718']
ASIC4	NM_182847	['ENST00000474489', 'ENST00000347842', 'ENST00000461395']
FAF2	NM_014613	['ENST00000261942']
ASIC1	NM_020039	['ENST00000228468']
PGM1	NM_002633	['ENST00000371084']
PGM1	NM_001172818	['ENST00000371083']
PGM2	NM_018290	['ENST00000544359', 'ENST00000381967']
PGM3	NM_001199917	['ENST00000513973']
ABCB11	NM_003742	['ENST00000263817']
SART3	NM_014706	['ENST00000228284']
SART1	NM_005146	['ENST00000532333', 'ENST00000529532', 'ENST00000312397']
SLC25A40	NM_018843	['ENST00000341119']
PMP22	NM_000304	['ENST00000312280']
SLC25A43	NM_145305	['ENST00000488158', 'ENST00000217909']
SLC25A46	NM_138773	['ENST00000504098', 'ENST00000355943']
CR1L	NM_175710	['ENST00000294997', 'ENST00000508064']
CDC23	NM_004661	['ENST00000394886', 'ENST00000394884']
HOXD13	NM_000523	['ENST00000392539']
HOXD10	NM_002148	['ENST00000249501']
CDC20	NM_001255	['ENST00000310955', 'ENST00000372462']
PDZD7	NM_001195263	['ENST00000474125']
OR2F1	NM_012369	['ENST00000392899']
OR2F2	NM_001004685	['ENST00000408955']
BEST1	NM_004183	['ENST00000524877', 'ENST00000378043', 'ENST00000378042', 'ENST00000529265', 'ENST00000449131']
LIN52	NM_001024674	['ENST00000555028', 'ENST00000553404']
MYNN	NM_001185118	['ENST00000544106']
SORCS1	NM_001013031	['ENST00000263054']
NAGA	NM_000262	['ENST00000396398']
RPL35A	NM_000996	['ENST00000464167', 'ENST00000448864']
CARS2	NM_024537	['ENST00000535398', 'ENST00000257347']
FYTTD1	NM_032288	['ENST00000241502']
GPKOW	NM_015698	['ENST00000156109']
KIAA1614	NM_020950	['ENST00000367588', 'ENST00000367587']
TNPO2	NM_001136196	['ENST00000425528']
TNPO3	NM_012470	['ENST00000393245']
TNPO1	NM_002270	['ENST00000337273']
RRH	NM_006583	['ENST00000317735']
MAPK3	NM_002746	['ENST00000484663', 'ENST00000403394']
MAPK1	NM_002745	['ENST00000215832']
MAPK6	NM_002748	['ENST00000261845']
BCO1	NM_017429	['ENST00000258168', 'ENST00000564552']
PPP1R12B	NM_002481	['ENST00000608999']
MAPK8	NM_139049	['ENST00000374189']
SGPP2	NM_152386	['ENST00000321276']
CUZD1	NM_022034	['ENST00000368904', 'ENST00000545804', 'ENST00000368899']
ATP8A2	NM_016529	['ENST00000381655', 'ENST00000491840', 'ENST00000255283']
ATP8A1	NM_006095	['ENST00000381668']
NEO1	NM_002499	['ENST00000261908']
BCOR	NM_017745	['ENST00000397354']
VWA3B	NM_144992	['ENST00000448638', 'ENST00000477737', 'ENST00000489630', 'ENST00000409460', 'ENST00000495571', 'ENST00000473149', 'ENST00000465555', 'ENST00000416277', 'ENST00000433678', 'ENST00000432242']
BCAP31	NM_001139441	['ENST00000458587']
CCL11	NM_002986	['ENST00000305869']
VPS35	NM_018206	['ENST00000568784', 'ENST00000299138']
VPS39	NM_015289	['ENST00000562258', 'ENST00000318006']
METTL4	NM_022840	['ENST00000319888']
METTL5	NM_014168	['ENST00000260953', 'ENST00000409965', 'ENST00000392640']
TAS2R43	NM_176884	['ENST00000531678']
TAS2R42	NM_181429	['ENST00000334266']
TAS2R46	NM_176887	['ENST00000533467']
C1orf100	NM_001012970	['ENST00000308105']
KCTD1	NM_001258221	['ENST00000579973']
KCTD7	NM_153033	['ENST00000275532']
KCTD6	NM_001128214	['ENST00000404589']
SERPINA1	NM_000295	['ENST00000437397']
SERPINA3	NM_001085	['ENST00000393080', 'ENST00000553947', 'ENST00000467132']
SERPINA5	NM_000624	['ENST00000556775', 'ENST00000556730', 'ENST00000329597']
SERPINA6	NM_001756	['ENST00000341584', 'ENST00000555056']
EXOC6B	NM_015189	['ENST00000272427', 'ENST00000410104']
ZC3HC1	NM_016478	['ENST00000358303']
NRAS	NM_002524	['ENST00000369535']
NRAP	NM_001261463	['ENST00000359988']
FOXRED1	NM_017547	['ENST00000263578', 'ENST00000534315']
KCNT2	NM_198503	['ENST00000367433', 'ENST00000294725', 'ENST00000367431', 'ENST00000498426', 'ENST00000610076']
PXN	NM_001080855	['ENST00000228307', 'ENST00000536957', 'ENST00000323871']
CABLES1	NM_001100619	['ENST00000256925']
SHBG	NM_001040	['ENST00000575314', 'ENST00000380450', 'ENST00000572262']
UMOD	NM_003361	['ENST00000396134', 'ENST00000396138']
PACS1	NM_018026	['ENST00000527224', 'ENST00000320580']
PACS2	NM_001100913	['ENST00000447393']
SBNO1	NM_001167856	['ENST00000420886', 'ENST00000602750']
USPL1	NM_005800	['ENST00000255304']
RNF168	NM_152617	['ENST00000318037']
ZNF253	NM_021047	['ENST00000589717']
ZBTB40	NM_001083621	['ENST00000404138']
ZBTB41	NM_194314	['ENST00000367405']
UPF3A	NM_023011	['ENST00000375299']
BRAF	NM_004333	['ENST00000288602']
ZBTB49	NM_145291	['ENST00000337872', 'ENST00000503703']
SYNPO	NM_007286	['ENST00000307662']
CTC1	NM_025099	['ENST00000449476']
P4HA2	NM_004199	['ENST00000379104']
ANP32D	NM_012404	['ENST00000266594']
P4HA1	NM_001017962	['ENST00000394890']
ANP32B	NM_006401	['ENST00000339399']
ANP32A	NM_006305	['ENST00000465139']
FDXR	NM_024417	['ENST00000293195']
SYNPR	NM_144642	['ENST00000295894']
HPSE2	NM_021828	['ENST00000370552']
TAT	NM_000353	['ENST00000355962', 'ENST00000566094', 'ENST00000566010']
NTNG1	NM_014917	['ENST00000370074', 'ENST00000294649', 'ENST00000370068']
NTNG2	NM_032536	['ENST00000393229']
RPF1	NM_025065	['ENST00000370654']
ZFYVE16	NM_014733	['ENST00000338008', 'ENST00000510995', 'ENST00000512558', 'ENST00000512907']
ALMS1	NM_015120	['ENST00000423048', 'ENST00000409009', 'ENST00000264448']
TAZ	NM_000116	['ENST00000299328']
MRPL50	NM_019051	['ENST00000374865']
MALT1	NM_006785	['ENST00000348428']
STK11	NM_000455	['ENST00000326873']
OPN1SW	NM_001708	['ENST00000249389']
ALOXE3	NM_021628	['ENST00000448843', 'ENST00000380149']
ALOXE3	NM_001165960	['ENST00000318227', 'ENST00000380149']
ZNF683	NM_001114759	['ENST00000436292']
ZNF681	NM_138286	['ENST00000402377', 'ENST00000531570']
ZNF687	NM_020832	['ENST00000324048', 'ENST00000336715', 'ENST00000449313', 'ENST00000368879']
IQCC	NM_001160042	['ENST00000537469']
KXD1	NM_024069	['ENST00000539106']
IQCE	NM_152558	['ENST00000402050', 'ENST00000476665', 'ENST00000470731']
TNS2	NM_015319	['ENST00000314276', 'ENST00000549498']
MUC17	NM_001040105	['ENST00000379439', 'ENST00000306151']
MUC16	NM_024690	['ENST00000397910', 'ENST00000601404']
MUC13	NM_033049	['ENST00000311075']
TRAF3IP1	NM_015650	['ENST00000373327']
ANGPTL6	NM_031917	['ENST00000592641', 'ENST00000253109']
ANGPTL5	NM_178127	['ENST00000334289']
ANGPTL4	NM_139314	['ENST00000301455']
ANGPTL3	NM_014495	['ENST00000371129']
ANGPTL2	NM_012098	['ENST00000373425']
FDX2	NM_001031734	['ENST00000393708', 'ENST00000452032']
ACE2	NM_021804	['ENST00000427411', 'ENST00000252519']
CTCF	NM_006565	['ENST00000264010']
OR2L3	NM_001004687	['ENST00000359959']
RASGRP2	NM_153819	['ENST00000464324', 'ENST00000354024', 'ENST00000377494']
MMP15	NM_002428	['ENST00000219271']
GSTM3	NM_000849	['ENST00000361066', 'ENST00000256594']
MMP10	NM_002425	['ENST00000279441']
MMP11	NM_005940	['ENST00000437086', 'ENST00000215743']
MMP12	NM_002426	['ENST00000532855']
MMP13	NM_002427	['ENST00000260302']
DSTYK	NM_015375	['ENST00000367162']
MMP19	NM_002429	['ENST00000548882']
MYO18A	NM_078471	['ENST00000527372']
MYO18B	NM_032608	['ENST00000335473', 'ENST00000418374', 'ENST00000536101']
PRG4	NM_005807	['ENST00000445192']
MEI1	NM_152513	['ENST00000400107', 'ENST00000476893', 'ENST00000401548', 'ENST00000540833']
PPP1R1A	NM_006741	['ENST00000257905']
NF2	NM_000268	['ENST00000338641']
NF1	NM_000267	['ENST00000356175', 'ENST00000493220', 'ENST00000444181', 'ENST00000495910']
NF1	NM_001042492	['ENST00000358273']
NF1	NM_001128147	['ENST00000431387', 'ENST00000487476']
MRE11	NM_005591	['ENST00000323929']
BLMH	NM_000386	['ENST00000261714']
